"data";"ativo";"preco_abertura";"preco_alto";"preco_baixo";"preco_fechamento";"volume_negociado";"indicador";"valor_indicador";"rendimento_tesouro"
2024-11-07;MSFT;421.280;426.850;419.880;425.430;19901782;Commodity Channel Index (CCI);27.841;4.210
2024-11-07;ITUB4.SA;36.130;36.480;35.560;35.640;14842300;Triple Exponential Moving Average (TEMA);35.553;4.210
2024-11-07;GOOGL;177.410;181.080;177.190;180.750;25352939;Simple Moving Average (SMA);171.265;4.210
2024-11-07;AAPL;224.625;227.875;224.570;227.480;42137691;Exponential Moving Average (EMA);225.651;4.210
2024-11-06;VALE3.SA;61.300;61.630;60.740;61.420;19726800;Double Exponential Moving Average (DEMA);61.686;4.270
2024-11-06;PETR4.SA;35.050;35.460;35.040;35.400;28440800;Weighted Moving Average (WMA);34.365;4.270
2024-11-06;MSFT;412.420;420.450;410.520;420.180;26681842;Commodity Channel Index (CCI);-24.953;4.270
2024-11-06;ITUB4.SA;35.870;36.430;35.520;36.170;38887000;Triple Exponential Moving Average (TEMA);35.300;4.270
2024-11-06;GOOGL;173.800;176.940;173.500;176.510;33695538;Simple Moving Average (SMA);169.808;4.270
2024-11-06;AAPL;222.610;226.065;221.190;222.720;54561121;Exponential Moving Average (EMA);225.934;4.270
2024-11-05;VALE3.SA;62.950;63.110;61.960;62.120;16368800;Double Exponential Moving Average (DEMA);62.036;4.190
2024-11-05;PETR4.SA;35.500;35.600;35.030;35.390;23990600;Weighted Moving Average (WMA);34.516;4.190
2024-11-05;MSFT;408.370;414.900;408.080;411.460;17626011;Commodity Channel Index (CCI);-72.978;4.190
2024-11-05;ITUB4.SA;35.700;36.650;35.600;36.340;52524800;Triple Exponential Moving Average (TEMA);35.089;4.190
2024-11-05;GOOGL;169.430;170.530;168.840;169.740;18242050;Simple Moving Average (SMA);168.905;4.190
2024-11-05;AAPL;221.795;223.950;221.140;223.450;28111338;Exponential Moving Average (EMA);226.727;4.190
2024-11-04;VALE3.SA;62.400;62.870;62.120;62.670;12360000;Double Exponential Moving Average (DEMA);61.770;4.170
2024-11-04;PETR4.SA;35.900;35.950;35.380;35.500;24003600;Weighted Moving Average (WMA);34.600;4.170
2024-11-04;MSFT;409.800;410.415;405.571;408.460;19672286;Commodity Channel Index (CCI);-123.684;4.170
2024-11-04;ITUB4.SA;35.130;35.540;34.890;35.280;20499900;Triple Exponential Moving Average (TEMA);34.885;4.170
2024-11-04;GOOGL;169.930;170.730;168.011;169.240;21492744;Simple Moving Average (SMA);168.261;4.170
2024-11-04;AAPL;220.990;222.790;219.710;222.010;44944468;Exponential Moving Average (EMA);227.877;4.170
2024-11-01;VALE3.SA;62.140;62.440;61.790;62.030;15236400;Double Exponential Moving Average (DEMA);61.646;4.210
2024-11-01;PETR4.SA;36.200;36.370;35.300;35.420;30605300;Weighted Moving Average (WMA);34.634;4.210
2024-11-01;MSFT;409.010;415.500;407.500;410.370;24230442;Commodity Channel Index (CCI);-126.407;4.210
2024-11-01;ITUB4.SA;35.000;35.300;34.790;34.810;22751600;Triple Exponential Moving Average (TEMA);34.963;4.210
2024-11-01;GOOGL;170.070;172.320;168.880;171.290;31796477;Simple Moving Average (SMA);167.564;4.210
2024-11-01;AAPL;220.965;225.350;220.270;222.910;65276741;Exponential Moving Average (EMA);229.462;4.210
2024-10-31;VALE3.SA;62.340;62.590;61.800;62.060;16553300;Double Exponential Moving Average (DEMA);61.585;4.160
2024-10-31;PETR4.SA;35.870;36.050;35.630;35.910;25597000;Weighted Moving Average (WMA);34.629;4.160
2024-10-31;MSFT;415.360;416.160;406.300;406.350;53970981;Commodity Channel Index (CCI);-174.517;4.160
2024-10-31;ITUB4.SA;35.250;35.610;35.020;35.020;20077800;Triple Exponential Moving Average (TEMA);35.163;4.160
2024-10-31;GOOGL;173.130;176.820;171.000;171.110;44768981;Simple Moving Average (SMA);166.877;4.160
2024-10-31;AAPL;229.340;229.830;225.370;225.910;64370086;Exponential Moving Average (EMA);231.404;4.160
2024-10-30;VALE3.SA;62.500;62.690;62.120;62.470;12263300;Double Exponential Moving Average (DEMA);61.407;4.150
